sample	purity	n_neutral_snvs	eps	n_clusters
TARGET-40-0A4HXS-01A	0.613451129951709	1	NA	0
TARGET-40-0A4HY5-01A	0.6133092958499277	9	0.0199764982373678	1
TARGET-40-PAMHLF-01A	0.42139227521831063	7	0.051398026315789436	1
TARGET-40-PAKFVX-01A	0.8277617130746664	35	0.0017699115044248481	4
TARGET-40-0A4I9K-01A	0.4650875170677151	4	0.12404712404712404	1
TARGET-40-PALFYN-01A	0.6055190056819337	9	0.02706923477355544	1
TARGET-40-PAKZZK-01A	0.6285209941123919	3	0.41325196163905836	1
TARGET-40-PARKAF-01A	0.5933280170122275	5	0.12045454545454548	1
TARGET-40-PAMHYN-01A	0.7888842986587348	3	0.3829215896885071	1
TARGET-40-0A4I3S-01A	0.613451129951709	1	NA	0
TARGET-40-PASFCV-01A	0.613451129951709	0	NA	0
TARGET-40-PASNZV-01A	0.4262261760309665	17	0.02602359472588482	2
TARGET-40-PAKXLD-01A	0.678315298835859	17	0.0037786774628879582	2
TARGET-40-PATPBS-01A	1	13	0.13168603487611907	2
TARGET-40-PAPXGT-01A	0.7923465310582787	10	0.023953261927945557	1
TARGET-40-PAKUZU-01A	0.6306425828078465	9	0.01739690721649484	1
TARGET-40-0A4HLD-01A	0.7299876791332695	15	0.05125535115122065	2
TARGET-40-PANGPE-01A	0.613451129951709	1	NA	0
TARGET-40-0A4I65-01A	0.4046745897000566	5	0.06842105263157897	1
TARGET-40-0A4I0Q-01A	0.7974977423766408	19	0.005747126436781602	3
TARGET-40-PAMRHD-01A	0.4649201711631266	6	0.08404198777571087	1
TARGET-40-PAMYYJ-01A	0.613451129951709	1	NA	0
TARGET-40-PANGRW-01A	0.613451129951709	1	NA	0
TARGET-40-0A4I6O-01A	0.53443407644702845	6	0.04954128440366973	1
TARGET-40-PASSLM-01A	0.6646442495126705	4	0.09200779727095515	1
TARGET-40-PALKDP-01A	0.613451129951709	2	NA	0
TARGET-40-PALHRL-01A	1	11	0.08545999072004051	2
TARGET-40-0A4I4E-01A	0.8323761964211402	8	0.0014457831325301318	2
TARGET-40-PALKGN-01A	0.613451129951709	0	NA	0
TARGET-40-0A4I4M-01A	0.613451129951709	0	NA	0
TARGET-40-PATJVI-01A	0.4130727889241821	4	0.1541125541125541	1
TARGET-40-PAPFLB-01A	0.6315352950478907	14	0.006771668395737035	2
TARGET-40-0A4I48-01A	0.9712488769092542	14	0.09973045822102428	2
TARGET-40-PANPUM-01A	0.5966715860182283	7	0.006590136054421769	1
TARGET-40-PASYUK-01A	0.2562915479582146	9	0.024038461538461522	2
TARGET-40-PARBGW-01A	0.6058800065234043	32	0.002487562189054715	3
TARGET-40-PARDAX-01A	0.6998024828587172	13	0.007269422989550189	1
TARGET-40-0A4I4O-01A	0.613451129951709	0	NA	0
TARGET-40-0A4I5B-01A	0.613451129951709	1	NA	0
TARGET-40-PANMIG-01A	0.613451129951709	1	NA	0
TARGET-40-PASKZZ-01A	0.787770174866949	3	0.474910394265233	1
TARGET-40-PALWWX-01A	0.1832435320880355	4	0.018226420354679557	1
TARGET-40-PASEBY-01A	0.613451129951709	0	NA	0
TARGET-40-PAMLKS-01A	0.613451129951709	0	NA	0
TARGET-40-0A4HX8-01A	1	32	0.04040404040404044	2
TARGET-40-PAPVYW-01A	0.613451129951709	0	NA	0
TARGET-40-PASEFS-01A	0.5310511050676793	3	0.2167105648229441	1
TARGET-40-PARJXU-01A	0.476665754938935	6	0.06172037422037424	1
TARGET-40-PATMPU-01A	0.8088743902362933	17	0.1279428038773608	2
TARGET-40-PALECC-01A	0.3259858897082331	11	0.0032102728731942254	1
TARGET-40-PASRNE-01A	0.6230936819172114	3	0.055555555555555525	1
TARGET-40-PATMXR-01A	0.8481552736455655	8	0.22925938605500396	2
TARGET-40-PATUXZ-01A	0.6606087811365358	15	0.006251521704882357	1
TARGET-40-PAMEKS-01A	0.7092658613587796	7	0.02827586206896554	1
TARGET-40-PAPNVD-01A	0.4114216697895574	7	0.05204301075268822	1
TARGET-40-PANSEN-01A	0.4470989270757151	17	0.0035526850339515567	3
TARGET-40-0A4I0W-01A	0.47604079098933694	10	0.010582010582010581	2
TARGET-40-PANXSC-01A	0.46768813841984574	3	0.061288305190744186	1
TARGET-40-PALZGU-01A	0.613451129951709	1	NA	0
TARGET-40-PASUUH-01A	0.6135929640534904	8	0.006666666666666654	1
TARGET-40-0A4I8U-01A	0.6573348097249133	14	0.013669640814458983	1
TARGET-40-PATMIF-01A	0.613451129951709	0	NA	0
TARGET-40-PARFTG-01A	0.613451129951709	2	NA	0
TARGET-40-PANVJJ-01A	0.3687725235496068	11	0.009213323883770358	1
TARGET-40-PATAWV-01A	0.613451129951709	0	NA	0
TARGET-40-PAPIJR-01A	0.4694768816617556	6	0.19247699079631853	1
TARGET-40-PANZHX-01A	0.4629325570224571	12	0.0039215686274509665	1
TARGET-40-0A4HMC-01A	0.613451129951709	0	NA	0
